"SBS1" "SBS2" "SBS3" "SBS4" "SBS5" "SBS6" "SBS7a" "SBS7b" "SBS7c" "SBS7d" "SBS8" "SBS9" "SBS10a" "SBS10b" "SBS11" "SBS12" "SBS13" "SBS14" "SBS15" "SBS16" "SBS17a" "SBS17b" "SBS18" "SBS19" "SBS20" "SBS21" "SBS22" "SBS23" "SBS24" "SBS25" "SBS26" "SBS27" "SBS28" "SBS29" "SBS30" "SBS31" "SBS32" "SBS33" "SBS34" "SBS35" "SBS36" "SBS37" "SBS38" "SBS39" "SBS40" "SBS41" "SBS42" "SBS43" "SBS44" "SBS45" "SBS46" "SBS47" "SBS48" "SBS49" "SBS50" "SBS51" "SBS52" "SBS53" "SBS54" "SBS55" "SBS56" "SBS57" "SBS58" "SBS59" "SBS60" "TMZ"
"PD11462" 980 99 0 0 1006 0 0 0 0 0 635 0 0 0 0 0 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11464" 882 1432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11465" 2163 5334 0 0 3605 0 0 0 0 0 3327 0 0 0 0 0 8122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11740" 670 88 0 0 1166 0 0 0 0 0 410 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11741" 583 142 0 0 0 0 0 0 0 0 807 0 0 0 0 0 140 0 0 0 0 0 304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11742" 475 478 2159 0 1287 0 0 0 0 0 1650 0 0 0 0 0 956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11743" 698 147 928 0 1057 0 0 0 0 0 479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11744" 545 0 0 0 1017 0 0 0 0 0 320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11745" 518 257 0 0 828 0 0 0 0 0 953 0 0 0 0 0 205 0 0 0 0 0 257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PD11748" 912 0 5805 0 1494 0 0 0 0 0 2934 0 0 0 0 0 616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
